NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT03478215,Mesenchymal Stromal Cells in Living Donor Kidney Transplantation,,Recruiting,Renal Transplantation|Mesenchymal Stem Cells,Biological: Mesenchymal Stromal Stem Cells (MSCs) Infusion|Other: Normal Saline (Placebo) Infusion,"Number of participants without any infusional toxicity, occurring within 24 hours of infusion.|Number of participants without any acute rejection, graft loss, or death at 6 months post transplant.","The Methodist Hospital System|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,24.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other",Pro00012858|U1111-1169-2289,February 2016,July 2021,July 2021,"March 27, 2018",,"September 2, 2019","Houston Methodist Hospital System, Houston, Texas, United States",95,,No Results Available,https://ClinicalTrials.gov/show/NCT03478215
NCT02384018,Mesenchymal Stem Cell and Islet Co-transplantation,,Completed,Chronic Pancreatitis|Diabetes,Biological: autologous mesenchymal stromal cell,"C-peptide level after mixed meal tolerance test|Liver function, kidney function|The absence of severe hypoglycemic episodes",Medical University of South Carolina|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 1,24.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CCT-BMMSC15-001|5R21DK099696,December 2014,December 2018,December 2018,"March 10, 2015",,"January 3, 2019","GI Surgery, Medical University of South Carolina, Charleston, South Carolina, United States",96,,No Results Available,https://ClinicalTrials.gov/show/NCT02384018
NCT03857841,A Safety Study of IV Stem Cell-derived Extracellular Vesicles (UNEX-42) in Preterm Neonates at High Risk for BPD,,Recruiting,Bronchopulmonary Dysplasia,Biological: UNEX-42|Biological: Phosphate-buffered saline,"Number of Subjects With Treatment-emergent Adverse Events During the Post-treatment Phase (Safety and Tolerability)|Incidence of BPD at 36 Weeks Post-menstrual Age|Incidence of Death at 36 Weeks Post-menstrual Age|Severity of BPD (mild, moderate, severe) at Week 36 Post-menstrual Age",United Therapeutics,All,up to 14 Days   (Child),Phase 1,18.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",UNX-BP-101,"June 20, 2019",December 2021,December 2021,"February 28, 2019",,"September 18, 2019","University of Colorado Hospital, Aurora, Colorado, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States",97,,No Results Available,https://ClinicalTrials.gov/show/NCT03857841
NCT00826046,Prochymal® Expanded Access for Adults Who Have Failed Steroid Treatment for Acute GVHD,,No longer available,Graft-Versus-Host Disease,Drug: Prochymal®,,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",,,Industry,Expanded Access,,276,,,,"January 21, 2009",,"October 22, 2015","Indiana BMT, Beech Grove, Indiana, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States",98,,No Results Available,https://ClinicalTrials.gov/show/NCT00826046
NCT00187018,Marrow Mesenchymal Cell Therapy for Osteogenesis Imperfecta: A Pilot Study,,Completed,Osteogenesis Imperfecta,Biological: Bone marrow transplant,To find out the effects (good and bad) of bone marrow cell infusions using donor bone marrow that has had CD3+ cells removed|To find out if there is any effect on the growth rate of children with osteogenesis imperfecta who receive donor bone marrow which has had CD3+ cells removed|To find out if there is any effect on the total bone mineral content of children with OI|who receive donor bone marrow which has had CD3+ cells removed|To find out the effect of the CD3 washed-out marrow cell therapy on the growth rate of the children,St. Jude Children's Research Hospital,All,"Child, Adult, Older Adult",Not Applicable,9.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STOD2,March 2004,August 2007,August 2007,"September 16, 2005",,"March 4, 2015","St. Jude Children's Research Hospital, Memphis, Tennessee, United States",99,,No Results Available,https://ClinicalTrials.gov/show/NCT00187018
NCT03489564,Mitochondrial Capacity in Pregnant Women,Mito Moms,Recruiting,Pregnancy Related|Physical Activity,Behavioral: Active|Behavioral: Sedentary,Infant in vitro mitochondrial capacity (by oxygen consumption rate)|Relationship between in vivo mitochondrial capacity and infant in vitro mitochondrial capacity (by oxygen consumption rates)|Relationship between in vivo mitochondrial capacity and maternal in vitro mitochondrial capacity (by oxygen consumption rate),Pennington Biomedical Research Center,Female,18 Years to 40 Years   (Adult),,20.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PBRC 2017-065,"March 19, 2018","December 31, 2019","December 31, 2019","April 5, 2018",,"May 23, 2019","Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States",100,,No Results Available,https://ClinicalTrials.gov/show/NCT03489564
NCT02674399,A Phase 2 Study to Evaluate the Efficacy and Safety of JointStem in Treatment of Osteoarthritis,,"Active, not recruiting","Osteoarthritis, Knee",Drug: JointStem|Drug: Synvisc-One,Change from baseline on Western Ontario and McMaster Universities Arthritis Index (WOMAC) score in JointStem group|Change from baseline on Visual Analog Scale (VAS) in JointStem group|MRI Improvement Evaluation in JointStem group|Change from baseline on WOMAC between JointStem and positive control groups|Change from baseline on VAS between JointStem and positive control groups|Change from baseline on Knee Injury & Osteoarthritis Outcome Score (KOOS) between JointStem and positive control groups|Change from baseline on Lysholm Knee Scoring Scale between JointStem and positive control groups|Change from baseline on International Knee Documentation Committee (IKDC) between JointStem and positive control groups|Change from baseline on RAND-36 Score between JointStem and positive control groups|Change from baseline on WOMAC in JointStem group|Change from baseline on VAS in JointStem group|Comparison of MRI improvement evaluation in JointStem group|Incidence of adverse events and laboratory abnormalities,"Nature Cell Co. Ltd.|KCRN Research, LLC",All,22 Years to 60 Years   (Adult),Phase 2,28.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",JS-OAP2-US01,"February 16, 2016","March 12, 2018",May 2019,"February 4, 2016",,"May 9, 2019","Orthopedic Pain Specialists, Santa Monica, California, United States|Walnut Creek, California, United States",101,,No Results Available,https://ClinicalTrials.gov/show/NCT02674399
NCT00768066,The Transendocardial Autologous Cells (hMSC or hBMC) in Ischemic Heart Failure Trial (TAC-HFT),TAC-HFT,Completed,"Stem Cell Transplantation|Ventricular Dysfunction, Left",Biological: Autologous human mesenchymal cells (hMSCs)|Biological: Autologous human bone marrow cells (hBMCs)|Biological: Placebo,"Incidence of TE-SAE Define as Composite of Death, Non-fatal MI, Stroke, Hospitalization for Worsening Heart Failure, Cardiac Perforation, Pericardial Tamponade, Ventricular Arrhythmias >15 Sec. or With Hemodynamic Compromise or Atrial Fibrillation|Serial Troponin Values (Every 12 Hours for the First 48 Hours Post-catheterization).|Serial Creatine Kinase Values (Every 12 Hours for the First 48 Hours Post-catheterization).|Incidence of the Major Adverse Cardiac Events (MACE) Endpoint, Defined as the Composite Incidence of (1) Death, (2) Hospitalization for Heart Failure, or (3) Non-fatal Recurrent MI.|Ectopic Tissue Formation.|Number of Deaths|Change From Baseline in Distance Walked in Six-minutes (Six-minute Walk Test).|Change From Baseline in the Minnesota Living With Heart Failure (MLHF) Questionnaire Total Score.|Percent Change From Baseline in Scar Mass as a Fraction of Left Ventricle Mass by Cardiac MRI or CT.","University of Miami|The Emmes Company, LLC",All,"21 Years to 90 Years   (Adult, Older Adult)",Phase 1|Phase 2,65.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20070443,August 2008,August 2012,September 2013,"October 7, 2008","December 14, 2015","December 14, 2015","University of Miami Miller School of Medicine, Miami, Florida, United States",102,,Has Results,https://ClinicalTrials.gov/show/NCT00768066
NCT02846883,Safety and Efficacy of Allogeneic MSCs in Promoting T-regulatory Cells in Patients With Small Abdominal Aortic Aneurysms,VIVAAA,Recruiting,Abdominal Aortic Aneurysm,Biological: MSC's|Drug: Placebo,Incidence of treatment related adverse events at 12 months post MSC administration as evidenced by the Investigator|Changes in circulating inflammatory cell phenotypes as measured by 18-FDG PET/CT,VA Office of Research and Development,All,"40 Years to 85 Years   (Adult, Older Adult)",Phase 1,36.0,U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",CLNB-06-15F|1510579216,"December 5, 2016","June 1, 2020","June 1, 2021","July 27, 2016",,"July 23, 2019","Richard L. Roudebush VA Medical Center, Indianapolis, IN, Indianapolis, Indiana, United States",103,,No Results Available,https://ClinicalTrials.gov/show/NCT02846883
NCT02104713,Stem Cell Therapy to Improve Burn Wound Healing,,"Active, not recruiting",Skin Burn Degree Second,Biological: Allogeneic (MSC's) Application to the Burn Wounds,Monitoring for adverse events as Assessed by CTCAE v4.0 following administration of allogeneic MSCs to 2nd degree burn wounds.,E.Badiavas|United States Department of Defense|University of Miami,All,"18 Years and older   (Adult, Older Adult)",Phase 1,20.0,Other|U.S. Fed,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,20120925,April 2014,February 2020,February 2020,"April 4, 2014",,"October 1, 2019","University of Miami, Miami, Florida, United States",104,,No Results Available,https://ClinicalTrials.gov/show/NCT02104713
NCT02396056,Enhancing Guided Bone Regeneration by Modifying a Resorbable Membrane,,Unknown status,Alveolar Ridge Augmentation,Other: BioMend Extend|Other: Modified BioMend Extend,Clinical horizontal bone augmentation results through direct measurement.|Volumetric measurements with CBCT,Stony Brook University,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,10.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,StonyBrookU,December 2014,December 2017,December 2017,"March 24, 2015",,"October 17, 2016","School of Dental Medicine of Stony Brook University, Stony Brook, New York, United States",105,,No Results Available,https://ClinicalTrials.gov/show/NCT02396056
NCT02468492,Pilot Synovial Fluid Molecular/Stem Cell Response to PRP in Knee Osteoarthritis: Clinical & Imaging Outcome Correlation,,Completed,Knee Osteoarthritis,Biological: Platelet Rich Plasma|Other: Normal Saline,Biochemical Molecular Outcomes|Clinical Outcomes|Imaging Outcomes,Hunter Holmes Mcguire Veteran Affairs Medical Center|Foundation for Physical Medicine and Rehabilitation,All,"40 Years and older   (Adult, Older Adult)",Early Phase 1,18.0,U.S. Fed|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science,IRB #01979/FDA IDE#15944,September 2014,November 2015,November 2015,"June 10, 2015",,"August 16, 2017","Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States",106,,No Results Available,https://ClinicalTrials.gov/show/NCT02468492
NCT00186914,Stromal Therapy of Osteodysplasia After Allogeneic Bone Marrow Transplantation,,Completed,Osteodysplasia,Biological: Marrow stromal cell infusion,To evaluate the safety of the stromal cell infusion,St. Jude Children's Research Hospital|Drexel University|Wayne State University,All,"Child, Adult, Older Adult",Phase 1,8.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STOD,July 1999,November 2001,January 2008,"September 16, 2005",,"March 4, 2015","St. Jude Children's Research Hospital, Memphis, Tennessee, United States",107,,No Results Available,https://ClinicalTrials.gov/show/NCT00186914
NCT01558908,Phase I/II Trial of Endometrial Regenerative Cells (ERC) in Patients With Critical Limb Ischemia,,Unknown status,Peripheral Vascular Diseases,Biological: Administration of ERC,Safety|Efficacy,Medistem Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,15.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MEDS-027,May 2012,May 2013,July 2013,"March 20, 2012",,"March 20, 2012","Indiana University School of Medicine, Indianapolis, Indiana, United States",108,,No Results Available,https://ClinicalTrials.gov/show/NCT01558908
NCT03117738,A Study to Evaluate the Safety and Efficacy of AstroStem in Treatment of Alzheimer's Disease,,"Active, not recruiting",Alzheimer Disease,Drug: AstroStem|Other: Placebo-Control,"Treatment related adverse events|ADAS-Cog (Alzheimer's Disease Assessment Scale-cognitive subscale)|MMSE (Mini-mental status examination)|CDR-SOB (Clinical Dementia Rating-Sum of Boxes)|NPI (Neuropsychiatric Inventory)|GDS (Geriatric Depression Scale)|ADCS-ADL (Alzheimer's Disease Cooperative Study Activities of Daily Living)|C-SSRS (Columbia Suicide Severity Rating Scale)|MRI Scan|Biomarkers: Amyloid beta 40, Amyloid beta 42, Amyloid precursor protein intracellular domain (AICD), soluble neuregulin-1 (sNRG-1)",Nature Cell Co. Ltd.,All,"50 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,21.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",AST-ADP2-US01,"April 3, 2017",August 2019,September 2019,"April 18, 2017",,"May 9, 2019","ATP Clinical Research, Costa Mesa, California, United States|Syrentis Clinical Research, Santa Ana, California, United States|Valden Medical, Honolulu, Hawaii, United States",109,,No Results Available,https://ClinicalTrials.gov/show/NCT03117738
